Sample Read Subtype NumSamplesSequenced BpSequenced NumVariants Study
779-V20 R1 pdmH1N1 54 13158 2 flu-Poon
703-V10 R2 H3N2 46 13550 133 flu-Poon
739-V33 R1 H3N2 46 13550 0 flu-Poon
747-V10 R2 H3N2 46 13550 112 flu-Poon
729-V10 R1 H3N2 46 13550 0 flu-Poon
785-V10 R1 pdmH1N1 54 13158 0 flu-Poon
750-V10 R1 H3N2 46 13550 2 flu-Poon
770-V22 R1 pdmH1N1 54 13158 0 flu-Poon
698-V10 R2 pdmH1N1 54 13158 33 flu-Poon
762-V10 R1R2 pdmH1N1 54 13158 17 flu-Poon
704-V10 R1 pdmH1N1 54 13158 1 flu-Poon
793-V20 R2 pdmH1N1 54 13158 30 flu-Poon
757-V10 R2 pdmH1N1 54 13158 43 flu-Poon
742-V33 R1R2 pdmH1N1 54 13158 16 flu-Poon
759-V10 R1R2 pdmH1N1 54 13158 17 flu-Poon
669-V10 R1R2 H3N2 46 13550 56 flu-Poon
739-V22 R1 H3N2 46 13550 0 flu-Poon
684-V10 R2 pdmH1N1 54 13158 38 flu-Poon
701-V10 R2 pdmH1N1 54 13158 28 flu-Poon
751-V24 R1 pdmH1N1 54 13158 0 flu-Poon
770-V22 R1R2 pdmH1N1 54 13158 19 flu-Poon
722-V10 R1R2 pdmH1N1 54 13158 17 flu-Poon
752-V10 R1R2 H3N2 46 13550 41 flu-Poon
751-V20 R1 pdmH1N1 54 13158 0 flu-Poon
733-V10 R2 H3N2 46 13550 90 flu-Poon
671-V10 R1R2 H3N2 46 13550 115 flu-Poon
751-V31 R1 pdmH1N1 54 13158 2 flu-Poon
769-V10 R1R2 H3N2 46 13550 57 flu-Poon
752-V10 R2 H3N2 46 13550 111 flu-Poon
720-V20 R1R2 H3N2 46 13550 118 flu-Poon
751-V24 R2 pdmH1N1 54 13158 35 flu-Poon
693-V20 R1R2 pdmH1N1 54 13158 13 flu-Poon
725-V10 R1 H3N2 46 13550 1 flu-Poon
772-V10 R1R2 pdmH1N1 54 13158 15 flu-Poon
665-V10 R1R2 pdmH1N1 54 13158 37 flu-Poon
751-V23 R1R2 pdmH1N1 54 13158 18 flu-Poon
721-V10 R2 pdmH1N1 54 13158 41 flu-Poon
701-V10 R1R2 pdmH1N1 54 13158 16 flu-Poon
665-V10 R1 pdmH1N1 54 13158 1 flu-Poon
734-V32 R1R2 H3N2 46 13550 58 flu-Poon
751-V23 R1 pdmH1N1 54 13158 0 flu-Poon
793-V10 R1 pdmH1N1 54 13158 1 flu-Poon
712-V24 R2 pdmH1N1 54 13158 43 flu-Poon
781-V10 R1R2 H3N2 46 13550 118 flu-Poon
758-V10 R1R2 pdmH1N1 54 13158 21 flu-Poon
693-V20 R2 pdmH1N1 54 13158 31 flu-Poon
751-V24 R1R2 pdmH1N1 54 13158 20 flu-Poon
764-V10 R1R2 H3N2 46 13550 55 flu-Poon
663-V10 R1 pdmH1N1 54 13158 3 flu-Poon
693-V20 R1 pdmH1N1 54 13158 2 flu-Poon
724-V10 R1 H3N2 46 13550 1 flu-Poon
720-V21 R1 H3N2 46 13550 1 flu-Poon
734-V32 R1 H3N2 46 13550 0 flu-Poon
692-V10 R2 H3N2 46 13550 116 flu-Poon
720-V31 R1 H3N2 46 13550 3 flu-Poon
763-V23 R1R2 H3N2 46 13550 76 flu-Poon
772-V10 R1 pdmH1N1 54 13158 3 flu-Poon
745-V10 R1R2 pdmH1N1 54 13158 15 flu-Poon
779-V22 R2 pdmH1N1 54 13158 39 flu-Poon
738-V10 R1 pdmH1N1 54 13158 2 flu-Poon
701-V10 R1 pdmH1N1 54 13158 0 flu-Poon
672-V10 R2 H3N2 46 13550 127 flu-Poon
712-V20 R1R2 pdmH1N1 54 13158 16 flu-Poon
793-V20 R1 pdmH1N1 54 13158 1 flu-Poon
739-V22 R2 H3N2 46 13550 123 flu-Poon
764-V10 R2 H3N2 46 13550 116 flu-Poon
712-V10 R2 pdmH1N1 54 13158 41 flu-Poon
739-V10 R2 H3N2 46 13550 125 flu-Poon
747-V10 R1 H3N2 46 13550 1 flu-Poon
712-V24 R1R2 pdmH1N1 54 13158 15 flu-Poon
703-V10 R1R2 H3N2 46 13550 58 flu-Poon
714-V10 R1 H3N2 46 13550 0 flu-Poon
724-V20 R1 H3N2 46 13550 0 flu-Poon
779-V10 R1 pdmH1N1 54 13158 2 flu-Poon
712-V20 R2 pdmH1N1 54 13158 34 flu-Poon
755-V31 R1 H3N2 46 13550 4 flu-Poon
721-V10 R1 pdmH1N1 54 13158 0 flu-Poon
721-V10 R1R2 pdmH1N1 54 13158 19 flu-Poon
785-V10 R2 pdmH1N1 54 13158 37 flu-Poon
683-V10 R1 pdmH1N1 54 13158 1 flu-Poon
667-V10 R1R2 pdmH1N1 54 13158 28 flu-Poon
742-V10 R2 pdmH1N1 54 13158 26 flu-Poon
