Sample Subtype MappingRate Study
712-V24-36769 pdmH1N1 93.35 flu-Poon
721-V10-36770 pdmH1N1 99.08 flu-Poon
722-V10-36771 pdmH1N1 97.38 flu-Poon
738-V10-36772 pdmH1N1 98.22 flu-Poon
742-V10-36773 pdmH1N1 97.2 flu-Poon
742-V33-36774 pdmH1N1 80.67 flu-Poon
745-V10-36775 pdmH1N1 77.38 flu-Poon
746-V10-36776 pdmH1N1 98.33 flu-Poon
751-V10-36777 pdmH1N1 94.28 flu-Poon
751-V20-36778 pdmH1N1 89.25 flu-Poon
751-V23-36779 pdmH1N1 34.27 flu-Poon
751-V24-36780 pdmH1N1 61.58 flu-Poon
751-V31-36781 pdmH1N1 98.38 flu-Poon
751-V34-36782 pdmH1N1 97.17 flu-Poon
757-V10-36783 pdmH1N1 98.75 flu-Poon
758-V10-36784 pdmH1N1 97.45 flu-Poon
759-V10-36785 pdmH1N1 91.22 flu-Poon
761-V10-36786 pdmH1N1 97.78 flu-Poon
762-V10-36787 pdmH1N1 98.72 flu-Poon
765-V10-36788 pdmH1N1 96.58 flu-Poon
770-V22-36789 pdmH1N1 87.9 flu-Poon
771-V10-36790 pdmH1N1 98.42 flu-Poon
772-V10-36791 pdmH1N1 70.75 flu-Poon
774-V10-36792 pdmH1N1 94 flu-Poon
779-V10-36793 pdmH1N1 95.53 flu-Poon
779-V12-36794 pdmH1N1 97 flu-Poon
779-V20-36795 pdmH1N1 66.83 flu-Poon
779-V21-36796 pdmH1N1 98.97 flu-Poon
779-V22-36797 pdmH1N1 97.25 flu-Poon
785-V10-36798 pdmH1N1 96.83 flu-Poon
787-V10-36799 pdmH1N1 94.92 flu-Poon
793-V10-36800 pdmH1N1 96.08 flu-Poon
793-V20-36801 pdmH1N1 98.92 flu-Poon
661-V10-36802 pdmH1N1 95.03 flu-Poon
